#RPLIDAR SCAN DATA
#COUNT=1039
#Angule	Distance	Quality
135.0439	 4776.0	 188
135.3571	 4760.0	 188
135.6702	 4736.0	 188
135.9833	 4688.0	 188
136.3074	 4664.0	 188
136.6205	 4648.0	 188
136.9336	 4624.0	 188
137.2467	 4600.0	 188
137.5598	 4576.0	 188
137.8729	 4560.0	 188
138.1860	 4544.0	 188
138.5156	 4528.0	 188
138.8232	 4504.0	 188
139.7626	 4480.0	 188
142.7618	 680.0	 188
143.0750	 672.0	 188
143.3881	 670.0	 188
143.7012	 670.0	 188
144.0143	 672.0	 188
144.3274	 670.0	 188
144.6515	 666.0	 188
144.9646	 666.0	 188
145.3271	 664.0	 188
145.6512	 662.0	 188
145.9644	 664.0	 188
146.2170	 666.0	 188
146.5906	 664.0	 188
146.9037	 664.0	 188
147.1674	 668.0	 188
147.4805	 668.0	 188
147.7936	 668.0	 188
148.1067	 670.0	 188
148.4198	 672.0	 188
149.0625	 674.0	 188
151.8256	 686.0	 188
154.2920	 3712.0	 188
154.6216	 3692.0	 188
154.9347	 3684.0	 188
155.2478	 3676.0	 188
155.5609	 3664.0	 188
155.8740	 3656.0	 188
156.1871	 3648.0	 188
156.4948	 3644.0	 188
156.8243	 3636.0	 188
157.1375	 3624.0	 188
157.4506	 3616.0	 188
157.7637	 3612.0	 188
158.0768	 3604.0	 188
158.3899	 3592.0	 188
158.7140	 3584.0	 188
159.0271	 3576.0	 188
159.3402	 3572.0	 188
159.6533	 3564.0	 188
159.9664	 3556.0	 188
160.2795	 3552.0	 188
160.6091	 3556.0	 188
160.9167	 3544.0	 188
161.2299	 3524.0	 188
161.5430	 3516.0	 188
161.9165	 3508.0	 188
162.2296	 3500.0	 188
162.5427	 3496.0	 188
162.8558	 3492.0	 188
163.1689	 3492.0	 188
163.4985	 3484.0	 188
163.8116	 3488.0	 188
164.1248	 3480.0	 188
164.4324	 3468.0	 188
164.7455	 3464.0	 188
165.0586	 3460.0	 188
165.3882	 3456.0	 188
165.7013	 3448.0	 188
166.0144	 3440.0	 188
166.3275	 3436.0	 188
166.6406	 3436.0	 188
166.9482	 3424.0	 188
167.2778	 3420.0	 188
167.5909	 3424.0	 188
167.9041	 3420.0	 188
168.2172	 3416.0	 188
168.5303	 3416.0	 188
168.8434	 3416.0	 188
169.1675	 3400.0	 188
169.4806	 3392.0	 188
169.7937	 3392.0	 188
170.1068	 3392.0	 188
170.4199	 3396.0	 188
170.7330	 3392.0	 188
171.0571	 3388.0	 188
171.3702	 3380.0	 188
171.6833	 3380.0	 188
171.9965	 3380.0	 188
172.3096	 3380.0	 188
172.6227	 3376.0	 188
172.9523	 3372.0	 188
173.2654	 3368.0	 188
173.5730	 3368.0	 188
173.8861	 3364.0	 188
174.1992	 3364.0	 188
174.5123	 3372.0	 188
174.8419	 3360.0	 188
175.1550	 3356.0	 188
175.4681	 3360.0	 188
175.7812	 3360.0	 188
176.0889	 3356.0	 188
176.4020	 3348.0	 188
176.7316	 3352.0	 188
177.0447	 3356.0	 188
177.3578	 3348.0	 188
177.6709	 3348.0	 188
177.9840	 3348.0	 188
178.2916	 3344.0	 188
178.6212	 3348.0	 188
178.9343	 3344.0	 188
179.2474	 3344.0	 188
179.5605	 3352.0	 188
179.8737	 3352.0	 188
180.1868	 3352.0	 188
180.5109	 3352.0	 188
180.8240	 3352.0	 188
181.1371	 3352.0	 188
181.4502	 3356.0	 188
181.7633	 3348.0	 188
182.0764	 3348.0	 188
182.4060	 3352.0	 188
183.3398	 3372.0	 188
185.9326	 1742.0	 188
186.2457	 1744.0	 188
186.5753	 1744.0	 188
186.8884	 1720.0	 188
187.5751	 1634.0	 188
187.8882	 1610.0	 188
188.5144	 1570.0	 188
189.5746	 1380.0	 188
190.3711	 1214.0	 188
190.6842	 1180.0	 188
191.0577	 1148.0	 188
191.4368	 1114.0	 188
191.7499	 1086.0	 188
192.1069	 1062.0	 188
192.4365	 1034.0	 188
192.7936	 1006.0	 188
193.1232	 986.0	 188
193.4802	 964.0	 188
193.8593	 938.0	 188
194.1669	 916.0	 188
194.5459	 896.0	 188
194.9194	 874.0	 188
195.2325	 858.0	 188
195.6061	 840.0	 188
195.9192	 822.0	 188
196.2762	 806.0	 188
196.6058	 794.0	 188
196.9684	 778.0	 188
197.3419	 762.0	 188
197.6550	 750.0	 188
198.0286	 736.0	 188
198.3417	 724.0	 188
198.7152	 710.0	 188
199.0887	 696.0	 188
199.4019	 686.0	 188
199.7644	 676.0	 188
200.1379	 664.0	 188
200.4510	 654.0	 188
200.8246	 646.0	 188
201.1377	 636.0	 188
201.5112	 624.0	 188
201.8903	 612.0	 188
202.1979	 604.0	 188
202.5769	 598.0	 188
202.8900	 592.0	 188
203.2471	 584.0	 188
203.5767	 574.0	 188
203.9337	 566.0	 188
204.3073	 558.0	 188
204.6204	 554.0	 188
204.9335	 548.0	 188
205.3125	 540.0	 188
205.6860	 532.0	 188
205.9991	 526.0	 188
206.3727	 520.0	 188
206.6858	 514.0	 188
207.0593	 509.0	 188
207.3724	 503.0	 188
207.7460	 497.0	 188
208.0591	 492.0	 188
208.4326	 488.0	 188
208.7952	 482.0	 188
209.1083	 476.0	 188
209.4818	 470.0	 188
209.7949	 466.0	 188
210.1685	 461.0	 188
210.4816	 456.0	 188
210.8551	 451.0	 188
211.1682	 448.0	 188
211.5417	 445.0	 188
211.9208	 439.0	 188
212.2339	 435.0	 188
212.5909	 431.0	 188
212.9205	 428.0	 188
213.2336	 424.0	 188
213.6072	 420.0	 188
213.9203	 417.0	 188
214.2773	 414.0	 188
214.6509	 409.0	 188
214.9640	 404.0	 188
215.3430	 401.0	 188
215.6561	 398.0	 188
216.0297	 394.0	 188
216.4032	 390.0	 188
216.7163	 388.0	 188
217.0898	 384.0	 188
217.4030	 381.0	 188
217.7765	 377.0	 188
218.0896	 374.0	 188
218.4521	 371.0	 188
218.7762	 368.0	 188
219.1388	 365.0	 188
219.4684	 363.0	 188
219.8254	 360.0	 188
220.1385	 357.0	 188
220.5121	 355.0	 188
220.8252	 353.0	 188
221.1987	 350.0	 188
221.5118	 347.0	 188
221.8854	 343.0	 188
222.2644	 340.0	 188
222.5775	 339.0	 188
222.8906	 337.0	 188
223.2642	 335.0	 188
223.5773	 333.0	 188
223.9343	 332.0	 188
224.2474	 330.0	 188
224.6210	 327.0	 188
224.9341	 325.0	 188
225.3076	 323.0	 188
225.6207	 321.0	 188
225.9998	 319.0	 188
226.3074	 318.0	 188
226.6205	 317.0	 188
226.9995	 315.0	 188
227.3071	 313.0	 188
227.6202	 312.0	 188
227.9993	 310.0	 188
228.3124	 308.0	 188
228.6694	 306.0	 188
228.9825	 305.0	 188
229.3121	 304.0	 188
229.6692	 302.0	 188
229.9823	 301.0	 188
230.3558	 299.0	 188
230.6689	 298.0	 188
231.0425	 296.0	 188
231.3556	 295.0	 188
231.6687	 294.0	 188
231.9818	 293.0	 188
232.3553	 291.0	 188
232.6685	 290.0	 188
233.0420	 289.0	 188
233.3551	 287.0	 188
233.6682	 286.0	 188
234.0417	 285.0	 188
234.3549	 285.0	 188
234.6680	 284.0	 188
235.0305	 282.0	 188
235.3546	 281.0	 188
235.6677	 280.0	 188
236.0303	 278.0	 188
236.3434	 278.0	 188
236.6675	 278.0	 188
237.0300	 276.0	 188
237.3431	 275.0	 188
237.6562	 274.0	 188
237.9803	 274.0	 188
238.3429	 273.0	 188
238.6560	 272.0	 188
238.9636	 271.0	 188
239.3427	 268.0	 188
239.6558	 268.0	 188
239.9634	 268.0	 188
240.3424	 267.0	 188
240.6555	 267.0	 188
240.9686	 267.0	 188
241.2762	 266.0	 188
241.6553	 264.0	 188
241.9684	 262.0	 188
242.3419	 261.0	 188
242.6550	 261.0	 188
242.9681	 261.0	 188
243.2812	 261.0	 188
243.5889	 261.0	 188
243.9020	 261.0	 188
244.2316	 261.0	 188
244.5447	 261.0	 188
244.8578	 260.0	 188
245.2148	 258.0	 188
245.5444	 257.0	 188
245.8575	 257.0	 188
246.1707	 257.0	 188
246.4838	 257.0	 188
246.8573	 256.0	 188
247.1704	 255.0	 188
247.4835	 254.0	 188
247.7966	 254.0	 188
248.1042	 254.0	 188
248.4833	 252.0	 188
248.7964	 252.0	 188
249.1040	 252.0	 188
249.4171	 252.0	 188
249.7302	 252.0	 188
250.0433	 252.0	 188
250.3564	 252.0	 188
250.6696	 252.0	 188
250.9991	 252.0	 188
251.3123	 252.0	 188
251.6199	 251.0	 188
251.9330	 251.0	 188
252.2461	 251.0	 188
252.5592	 251.0	 188
252.8723	 251.0	 188
253.1854	 251.0	 188
253.4985	 251.0	 188
253.8116	 251.0	 188
254.2456	 248.0	 188
254.5587	 246.0	 188
254.8718	 246.0	 188
255.1849	 246.0	 188
255.5585	 245.0	 188
255.8716	 245.0	 188
256.1847	 245.0	 188
256.4978	 245.0	 188
256.8109	 245.0	 188
257.1240	 245.0	 188
257.4371	 245.0	 188
257.7448	 245.0	 188
258.0579	 245.0	 188
258.3710	 245.0	 188
258.6841	 245.0	 188
258.9972	 245.0	 188
259.3103	 245.0	 188
259.6399	 245.0	 188
259.9530	 245.0	 188
260.2606	 245.0	 188
260.5737	 245.0	 188
260.8868	 245.0	 188
261.2000	 245.0	 188
261.5131	 245.0	 188
261.8262	 245.0	 188
262.1393	 245.0	 188
262.4524	 245.0	 188
262.7655	 245.0	 188
263.0731	 245.0	 188
263.3862	 245.0	 188
263.7158	 245.0	 188
264.0289	 245.0	 188
264.3420	 245.0	 188
264.6552	 245.0	 188
264.9683	 245.0	 188
265.2759	 245.0	 188
265.8417	 246.0	 188
267.4182	 246.0	 188
267.7808	 245.0	 188
268.1049	 244.0	 188
268.4180	 245.0	 188
268.7311	 245.0	 188
269.0442	 245.0	 188
269.3573	 245.0	 188
269.6704	 245.0	 188
269.9835	 245.0	 188
270.2966	 245.0	 188
270.6042	 245.0	 188
270.9174	 245.0	 188
271.2305	 245.0	 188
271.5436	 245.0	 188
271.8567	 245.0	 188
272.1698	 245.0	 188
272.4335	 246.0	 188
272.7466	 246.0	 188
273.1201	 245.0	 188
273.4332	 245.0	 188
273.6859	 246.0	 188
273.9990	 247.0	 188
274.3121	 247.0	 188
274.6198	 247.0	 188
274.9329	 248.0	 188
275.2625	 248.0	 188
275.5756	 248.0	 188
275.8228	 249.0	 188
276.1359	 250.0	 188
277.3114	 240.0	 188
280.0140	 244.0	 188
280.9479	 245.0	 188
283.3264	 187.0	 188
283.7000	 185.0	 188
284.0131	 185.0	 188
284.3262	 186.0	 188
284.6393	 186.0	 188
284.9524	 186.0	 188
285.2655	 186.0	 188
285.5896	 186.0	 188
285.8423	 187.0	 188
286.1554	 187.0	 188
286.4685	 187.0	 188
286.7761	 187.0	 188
287.0453	 188.0	 188
287.3584	 188.0	 188
287.6715	 189.0	 188
287.9791	 189.0	 188
288.2922	 189.0	 188
288.5614	 190.0	 188
288.8745	 190.0	 188
289.1821	 190.0	 188
289.4513	 191.0	 188
289.7644	 191.0	 188
290.0775	 192.0	 188
290.3906	 192.0	 188
290.6982	 192.0	 188
290.9509	 193.0	 188
291.2146	 194.0	 188
291.5277	 194.0	 188
291.8408	 194.0	 188
292.1539	 195.0	 188
292.4176	 196.0	 188
292.7307	 196.0	 188
293.0438	 196.0	 188
293.3075	 197.0	 188
293.6206	 198.0	 188
293.9337	 198.0	 188
294.1864	 199.0	 188
294.4995	 199.0	 188
294.7632	 200.0	 188
295.0763	 200.0	 188
295.3894	 201.0	 188
295.6531	 202.0	 188
295.9662	 202.0	 188
296.2793	 203.0	 188
296.5924	 203.0	 188
296.8561	 204.0	 188
297.1088	 205.0	 188
297.4219	 205.0	 188
297.7295	 206.0	 188
298.0426	 206.0	 188
298.3118	 207.0	 188
298.6249	 208.0	 188
298.9325	 208.0	 188
299.2017	 209.0	 188
299.5148	 210.0	 188
299.8279	 210.0	 188
300.0751	 211.0	 188
300.3387	 212.0	 188
300.6519	 212.0	 188
300.9650	 213.0	 188
301.2341	 214.0	 188
301.5417	 215.0	 188
301.8549	 215.0	 188
302.1075	 216.0	 188
302.4207	 217.0	 188
302.6843	 218.0	 188
302.9974	 218.0	 188
303.3105	 219.0	 188
303.5742	 220.0	 188
303.8873	 221.0	 188
304.1400	 222.0	 188
304.4531	 223.0	 188
304.7772	 223.0	 188
305.0299	 224.0	 188
305.3430	 225.0	 188
305.6067	 226.0	 188
305.9198	 227.0	 188
306.1670	 228.0	 188
306.4801	 229.0	 188
306.7493	 230.0	 188
307.0624	 231.0	 188
307.3260	 232.0	 188
307.6392	 232.0	 188
307.9523	 233.0	 188
308.1995	 235.0	 188
308.5126	 236.0	 188
308.8422	 236.0	 188
309.0894	 237.0	 188
309.4025	 238.0	 188
310.2924	 240.0	 188
314.0607	 239.0	 188
314.4946	 236.0	 188
314.8077	 235.0	 188
315.1868	 233.0	 188
315.4999	 232.0	 188
315.8569	 231.0	 188
316.1865	 230.0	 188
316.5436	 229.0	 188
316.9171	 227.0	 188
317.2961	 225.0	 188
317.6093	 225.0	 188
317.9169	 224.0	 188
318.2959	 222.0	 188
318.6530	 220.0	 188
318.9661	 220.0	 188
319.3396	 219.0	 188
319.6527	 218.0	 188
320.0262	 216.0	 188
320.4053	 215.0	 188
320.7184	 214.0	 188
321.0260	 214.0	 188
321.4050	 213.0	 188
321.7786	 211.0	 188
322.0917	 211.0	 188
322.4487	 209.0	 188
322.8278	 208.0	 188
323.1354	 208.0	 188
323.4485	 207.0	 188
323.8275	 205.0	 188
324.2010	 204.0	 188
324.5142	 204.0	 188
324.8877	 203.0	 188
325.2008	 202.0	 188
325.5139	 202.0	 188
325.8875	 201.0	 188
326.2006	 200.0	 188
326.5741	 199.0	 188
326.9366	 198.0	 188
327.2498	 197.0	 188
